"","...1","ID","stim_ID","GW","GAL","NGW","NGL","jitter1","jitter2","RT","outcomefeed","condition","session","response","GoResponse","Cue","req_action","correct","trial_number","block","TrialCount","feedback","OutValence","salient","followup_beha","correct_feedback","followup_response","next_action","next_action_binary"
"1",2,"AAAA0432",4,4,1,2,3,2602,576,1186,1,"a.sham",3,"press",1,"GW","Go",1,2,1,1,"win","Win","win","press",1,"press",NA,NA
"2",5,"AAAA0432",4,4,1,2,3,2518,585,711,1,"a.sham",3,"press",1,"GW","Go",1,5,1,2,"win","Win","win","press",1,"press","press",1
"3",10,"AAAA0432",4,4,1,2,3,2480,753,628,1,"a.sham",3,"press",1,"GW","Go",1,10,1,3,"win","Win","win","press",1,"press","press",1
"4",13,"AAAA0432",4,4,1,2,3,2103,894,822,1,"a.sham",3,"press",1,"GW","Go",1,13,1,4,"win","Win","win","press",1,"press","press",1
"5",17,"AAAA0432",4,4,1,2,3,2015,938,682,1,"a.sham",3,"press",1,"GW","Go",1,17,1,5,"win","Win","win","press",1,"press","press",1
"6",23,"AAAA0432",4,4,1,2,3,1918,894,640,1,"a.sham",3,"press",1,"GW","Go",1,23,1,6,"win","Win","win","press",1,"press","press",1
"7",27,"AAAA0432",4,4,1,2,3,1996,648,521,1,"a.sham",3,"press",1,"GW","Go",1,27,1,7,"win","Win","win","press",1,"press","press",1
"8",31,"AAAA0432",4,4,1,2,3,1265,576,600,0,"a.sham",3,"press",1,"GW","Go",1,31,1,8,"neutral","Win",NA,"press",0,NA,"press",1
"9",37,"AAAA0432",4,4,1,2,3,1551,511,588,1,"a.sham",3,"press",1,"GW","Go",1,37,1,9,"win","Win","win","press",1,"press","press",1
"10",39,"AAAA0432",4,4,1,2,3,1823,626,570,0,"a.sham",3,"press",1,"GW","Go",1,39,1,10,"neutral","Win",NA,"press",0,NA,"press",1
"11",44,"AAAA0432",4,4,1,2,3,1486,839,531,1,"a.sham",3,"press",1,"GW","Go",1,44,1,11,"win","Win","win","press",1,"press","press",1
