"","ID","stim_ID","GW","GAL","NGW","NGL","jitter1","jitter2","RT","outcomefeed","response","GoResponse","Cue","req_action","correct","win_lose_neutral","win"
"1","CTLB0360",2,4,1,2,3,2032,764,0,1,"no_press",0,"NGW","noGo",1,"win","win"
"2","CTLB0360",4,4,1,2,3,2336,593,1311,1,"press",1,"GW","Go",1,"win","win"
"3","CTLB0360",3,4,1,2,3,1883,678,0,0,"no_press",0,"NGL","noGo",1,"neutral",NA
"4","CTLB0360",3,4,1,2,3,1943,817,0,0,"no_press",0,"NGL","noGo",1,"neutral",NA
"5","CTLB0360",4,4,1,2,3,1966,739,855,1,"press",1,"GW","Go",1,"win","win"
"6","CTLB0360",1,4,1,2,3,1630,506,0,-1,"no_press",0,"GAL","Go",0,"lose","lose"
"7","CTLB0360",2,4,1,2,3,2283,970,728,0,"press",1,"NGW","noGo",0,"neutral",NA
"8","CTLB0360",4,4,1,2,3,2315,560,1240,0,"press",1,"GW","Go",1,"neutral",NA
"9","CTLB0360",4,4,1,2,3,2129,574,589,1,"press",1,"GW","Go",1,"win","win"
"10","CTLB0360",4,4,1,2,3,1364,832,822,0,"press",1,"GW","Go",1,"neutral",NA
"11","CTLB0360",4,4,1,2,3,1964,809,1108,1,"press",1,"GW","Go",1,"win","win"
"12","CTLB0360",4,4,1,2,3,1845,611,560,1,"press",1,"GW","Go",1,"win","win"
"13","CTLB0360",1,4,1,2,3,3412,780,0,-1,"no_press",0,"GAL","Go",0,"lose","lose"
"14","CTLB0360",4,4,1,2,3,1206,817,673,1,"press",1,"GW","Go",1,"win","win"
"15","CTLB0360",4,4,1,2,3,1596,703,655,1,"press",1,"GW","Go",1,"win","win"
"16","CTLB0360",3,4,1,2,3,2528,580,0,-1,"no_press",0,"NGL","noGo",1,"lose","lose"
"17","CTLB0360",4,4,1,2,3,1678,753,891,1,"press",1,"GW","Go",1,"win","win"
"18","CTLB0360",3,4,1,2,3,2853,609,783,-1,"press",1,"NGL","noGo",0,"lose","lose"
"19","CTLB0360",3,4,1,2,3,1959,762,0,-1,"no_press",0,"NGL","noGo",1,"lose","lose"
"20","CTLB0360",1,4,1,2,3,1869,692,1011,0,"press",1,"GAL","Go",1,"neutral",NA
"21","CTLB0360",4,4,1,2,3,1482,635,630,1,"press",1,"GW","Go",1,"win","win"
"22","CTLB0360",1,4,1,2,3,2464,892,819,0,"press",1,"GAL","Go",1,"neutral",NA
"23","CTLB0360",2,4,1,2,3,2513,734,1290,0,"press",1,"NGW","noGo",0,"neutral",NA
"24","CTLB0360",2,4,1,2,3,1000,746,654,0,"press",1,"NGW","noGo",0,"neutral",NA
"25","CTLB0360",1,4,1,2,3,1453,561,1289,0,"press",1,"GAL","Go",1,"neutral",NA
"26","CTLB0360",2,4,1,2,3,2287,906,771,1,"press",1,"NGW","noGo",0,"win","win"
"27","CTLB0360",4,4,1,2,3,1246,661,564,1,"press",1,"GW","Go",1,"win","win"
"28","CTLB0360",2,4,1,2,3,1885,521,739,0,"press",1,"NGW","noGo",0,"neutral",NA
"29","CTLB0360",1,4,1,2,3,1432,582,842,0,"press",1,"GAL","Go",1,"neutral",NA
"30","CTLB0360",4,4,1,2,3,1942,633,536,0,"press",1,"GW","Go",1,"neutral",NA
"31","CTLB0360",4,4,1,2,3,1942,904,588,1,"press",1,"GW","Go",1,"win","win"
"32","CTLB0360",2,4,1,2,3,2388,803,612,1,"press",1,"NGW","noGo",0,"win","win"
"33","CTLB0360",4,4,1,2,3,2057,652,502,1,"press",1,"GW","Go",1,"win","win"
"34","CTLB0360",3,4,1,2,3,2207,648,0,0,"no_press",0,"NGL","noGo",1,"neutral",NA
"35","CTLB0360",1,4,1,2,3,1932,657,1235,0,"press",1,"GAL","Go",1,"neutral",NA
"36","CTLB0360",1,4,1,2,3,1204,801,658,-1,"press",1,"GAL","Go",1,"lose","lose"
"37","CTLB0360",1,4,1,2,3,1709,641,0,-1,"no_press",0,"GAL","Go",0,"lose","lose"
"38","CTLB0360",3,4,1,2,3,1407,574,0,0,"no_press",0,"NGL","noGo",1,"neutral",NA
"39","CTLB0360",4,4,1,2,3,1511,988,635,1,"press",1,"GW","Go",1,"win","win"
"40","CTLB0360",1,4,1,2,3,2523,882,0,-1,"no_press",0,"GAL","Go",0,"lose","lose"
"41","CTLB0360",1,4,1,2,3,1511,836,488,-1,"press",1,"GAL","Go",1,"lose","lose"
"42","CTLB0360",1,4,1,2,3,1479,946,1078,0,"press",1,"GAL","Go",1,"neutral",NA
"43","CTLB0360",4,4,1,2,3,1908,639,973,1,"press",1,"GW","Go",1,"win","win"
"44","CTLB0360",3,4,1,2,3,1000,664,0,0,"no_press",0,"NGL","noGo",1,"neutral",NA
"45","CTLB0360",2,4,1,2,3,2998,975,0,0,"no_press",0,"NGW","noGo",1,"neutral",NA
"46","CTLB0360",1,4,1,2,3,2794,743,1133,0,"press",1,"GAL","Go",1,"neutral",NA
"47","CTLB0360",2,4,1,2,3,1266,836,635,0,"press",1,"NGW","noGo",0,"neutral",NA
