"","Cue","block","stim_seq","response","n","sequence"
"1","GAL","1",1,"press",6,1
"2","GAL","1",2,"press",7,1
"3","GAL","1",3,"press",6,1
"4","GAL","1",4,"press",7,1
"5","GAL","1",5,"press",6,1
"6","GAL","1",6,"press",7,1
"7","GAL","1",7,"press",7,1
"8","GAL","1",8,"press",6,1
"9","GAL","1",9,"press",5,1
"10","GAL","1",10,"press",7,1
"11","GAL","1",11,"press",6,1
"12","GAL","1",12,"press",8,1
"13","GAL","1",13,"press",7,1
"14","GAL","1",14,"press",9,1
"15","GAL","1",15,"press",7,1
"16","GAL","1",16,"press",9,1
"17","GAL","1",17,"press",7,1
"18","GAL","1",18,"press",7,1
"19","GAL","1",19,"press",7,1
"20","GAL","1",20,"press",8,1
"21","GAL","1",21,"press",8,1
"22","GAL","1",22,"press",8,1
"23","GAL","1",23,"press",9,1
"24","GAL","1",24,"press",6,1
"25","GAL","1",25,"press",8,1
"26","GAL","2",1,"press",7,1
"27","GAL","2",2,"press",5,1
"28","GAL","2",3,"press",7,1
"29","GAL","2",4,"press",6,1
"30","GAL","2",5,"press",6,1
"31","GAL","2",6,"press",7,1
"32","GAL","2",7,"press",6,1
"33","GAL","2",8,"press",7,1
"34","GAL","2",9,"press",6,1
"35","GAL","2",10,"press",7,1
"36","GAL","2",11,"press",6,1
"37","GAL","2",12,"press",7,1
"38","GAL","2",13,"press",6,1
"39","GAL","2",14,"press",8,1
"40","GAL","2",15,"press",7,1
"41","GAL","2",16,"press",8,1
"42","GAL","2",17,"press",8,1
"43","GAL","2",18,"press",7,1
"44","GAL","2",19,"press",8,1
"45","GAL","2",20,"press",8,1
"46","GAL","2",21,"press",6,1
"47","GAL","2",22,"press",8,1
"48","GAL","2",23,"press",8,1
"49","GAL","2",24,"press",7,1
"50","GAL","2",25,"press",8,1
"51","GAL","3",1,"press",9,1
"52","GAL","3",2,"press",4,1
"53","GAL","3",3,"press",7,1
"54","GAL","3",4,"press",8,1
"55","GAL","3",5,"press",7,1
"56","GAL","3",6,"press",7,1
"57","GAL","3",7,"press",8,1
"58","GAL","3",8,"press",8,1
"59","GAL","3",9,"press",7,1
"60","GAL","3",10,"press",6,1
"61","GAL","3",11,"press",7,1
"62","GAL","3",12,"press",9,1
"63","GAL","3",13,"press",6,1
"64","GAL","3",14,"press",7,1
"65","GAL","3",15,"press",7,1
"66","GAL","3",16,"press",9,1
"67","GAL","3",17,"press",9,1
"68","GAL","3",18,"press",7,1
"69","GAL","3",19,"press",6,1
"70","GAL","3",20,"press",7,1
"71","GAL","3",21,"press",8,1
"72","GAL","3",22,"press",8,1
"73","GAL","3",23,"press",6,1
"74","GAL","3",24,"press",7,1
"75","GAL","3",25,"press",6,1
"76","GAL","4",1,"press",5,1
"77","GAL","4",2,"press",3,1
"78","GAL","4",3,"press",3,1
"79","GAL","4",4,"press",6,1
"80","GAL","4",5,"press",4,1
"81","GAL","4",6,"press",6,1
"82","GAL","4",7,"press",6,1
"83","GAL","4",8,"press",8,1
"84","GAL","4",9,"press",7,1
"85","GAL","4",10,"press",7,1
